Cum%,Name,%,Rank
0,MARY,2.629,1
2.629,PATRICIA,1.073,2
3.702,LINDA,1.035,3
4.736,BARBARA,0.98,4
5.716,ELIZABETH,0.937,5
6.653,JENNIFER,0.932,6
7.586,MARIA,0.828,7
8.414,SUSAN,0.794,8
9.209,MARGARET,0.768,9
9.976,DOROTHY,0.727,10
10.703,LISA,0.704,11
11.407,NANCY,0.669,12
12.075,KAREN,0.667,13
12.742,BETTY,0.666,14
13.408,HELEN,0.663,15
14.071,SANDRA,0.629,16
14.7,DONNA,0.583,17
15.282,CAROL,0.565,18
15.848,RUTH,0.562,19
16.41,SHARON,0.522,20
16.932,MICHELLE,0.519,21
17.451,LAURA,0.51,22
17.961,SARAH,0.508,23
18.469,KIMBERLY,0.504,24
18.973,DEBORAH,0.494,25
19.467,JESSICA,0.49,26
19.958,SHIRLEY,0.482,27
20.439,CYNTHIA,0.469,28
20.908,ANGELA,0.468,29
21.376,MELISSA,0.462,30
21.839,BRENDA,0.455,31
22.293,AMY,0.451,32
22.745,ANNA,0.44,33
23.185,REBECCA,0.43,34
23.615,VIRGINIA,0.43,35
24.044,KATHLEEN,0.424,36
24.468,PAMELA,0.416,37
24.884,MARTHA,0.412,38
25.297,DEBRA,0.408,39
25.704,AMANDA,0.404,40
26.108,STEPHANIE,0.4,41
26.508,CAROLYN,0.385,42
26.893,CHRISTINE,0.382,43
27.275,MARIE,0.379,44
27.655,JANET,0.379,45
28.034,CATHERINE,0.373,46
28.408,FRANCES,0.37,47
28.777,ANN,0.364,48
29.141,JOYCE,0.364,49
29.505,DIANE,0.359,50
29.864,ALICE,0.357,51
30.221,JULIE,0.348,52
30.568,HEATHER,0.337,53
30.905,TERESA,0.336,54
31.241,DORIS,0.335,55
31.577,GLORIA,0.335,56
31.912,EVELYN,0.322,57
32.233,JEAN,0.315,58
32.548,CHERYL,0.315,59
32.863,MILDRED,0.313,60
33.176,KATHERINE,0.313,61
33.489,JOAN,0.306,62
33.795,ASHLEY,0.303,63
34.098,JUDITH,0.297,64
34.395,ROSE,0.296,65
34.691,JANICE,0.285,66
34.975,KELLY,0.283,67
35.258,NICOLE,0.281,68
35.539,JUDY,0.276,69
35.815,CHRISTINA,0.275,70
36.09,KATHY,0.272,71
36.362,THERESA,0.271,72
36.633,BEVERLY,0.267,73
36.9,DENISE,0.264,74
37.164,TAMMY,0.259,75
37.423,IRENE,0.252,76
37.675,JANE,0.25,77
37.925,LORI,0.248,78
38.173,RACHEL,0.242,79
38.415,MARILYN,0.241,80
38.657,ANDREA,0.236,81
38.893,KATHRYN,0.234,82
39.127,LOUISE,0.229,83
39.356,SARA,0.229,84
39.584,ANNE,0.228,85
39.812,JACQUELINE,0.228,86
40.04,WANDA,0.226,87
40.266,BONNIE,0.223,88
40.489,JULIA,0.223,89
40.711,RUBY,0.221,90
40.932,LOIS,0.22,91
41.153,TINA,0.22,92
41.372,PHYLLIS,0.219,93
41.591,NORMA,0.218,94
41.809,PAULA,0.217,95
42.026,DIANA,0.216,96
42.242,ANNIE,0.216,97
42.458,LILLIAN,0.211,98
42.669,EMILY,0.208,99
42.877,ROBIN,0.208,100
43.085,PEGGY,0.208,101
43.293,CRYSTAL,0.207,102
43.5,GLADYS,0.205,103
43.705,RITA,0.204,104
43.908,DAWN,0.202,105
44.111,CONNIE,0.2,106
